cement,slag,ash,water,superplastic,coarseagg,fineagg,age,strength
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28,32.4
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3,30.45
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,47.71
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,28,63.14
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,56,66.82
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,100,66.95
275.1,0,121.4,159.5,9.9,1053.6,777.5,3,23.8
275.1,0,121.4,159.5,9.9,1053.6,777.5,14,38.77
275.1,0,121.4,159.5,9.9,1053.6,777.5,28,51.33
275.1,0,121.4,159.5,9.9,1053.6,777.5,56,56.85
275.1,0,121.4,159.5,9.9,1053.6,777.5,100,58.61
261,100,78,201,9,864,761,28,32.4
272.8,181.9,0,185.7,0,1012.4,714.3,7,19.77
272.8,181.9,0,185.7,0,1012.4,714.3,28,31.38
266,112,87,178,10,910,745,28,39.42
266.2,112.3,87.5,177.9,10.4,909.7,744.5,28,39.42
277.1,0,97.4,160.6,11.8,973.9,875.6,3,23.14
277.1,0,97.4,160.6,11.8,973.9,875.6,14,41.89
277.1,0,97.4,160.6,11.8,973.9,875.6,28,48.28
277.1,0,97.4,160.6,11.8,973.9,875.6,56,51.04
277.1,0,97.4,160.6,11.8,973.9,875.6,100,55.64
264.5,111,86.5,195.5,5.9,832.6,790.4,28,41.54
265,111,86,195,6,833,790,28,41.54
286.3,200.9,0,144.7,11.2,1004.6,803.7,3,24.4
286.3,200.9,0,144.7,11.2,1004.6,803.7,7,38
286.3,200.9,0,144.7,11.2,1004.6,803.7,28,67.7
286.3,200.9,0,144.7,11.2,1004.6,803.7,56,72.99
286.3,200.9,0,144.7,11.2,1004.6,803.7,91,76.8
275,0,0,183,0,1088,808,7,14.2
275,0,0,183,0,1088,808,28,24.5
275,180,120,162,10.4,830,765,28,76.24
276,116,90,180,9,870,768,28,44.28
276.4,116,90.3,179.6,8.9,870.1,768.3,28,44.28
281,0,0,186,0,1104,774,7,14.5
281,0,0,186,0,1104,774,28,22.44
281,0,0,185,0,1104,774,28,22.44
272.6,0,89.6,198.7,10.6,931.3,762.2,28,32.25
266,114,0,228,0,932,670,90,47.03
266,114,0,228,0,932,670,28,45.85
266,114,0,228,0,932,670,365,52.91
266,114,0,228,0,932,670,270,51.73
266,114,0,228,0,932,670,180,48.7
273,0,90,199,11,931,762,28,32.24
279.8,128.9,100.4,172.4,9.5,825.1,804.9,28,52.83
272.8,105.1,81.8,209.7,9,904,679.7,28,37.17
273,105,82,210,9,904,680,28,37.17
285,190,0,163,7.6,1031,685,28,53.58
280,129,100,172,9,825,805,28,52.82
277,117,91,191,7,946,666,28,43.57
277,116.8,91,190.6,7,946.5,665.6,28,43.58
277,0,0,191,0,968,856,14,21.26
277,0,0,191,0,968,856,28,25.97
277,0,0,191,0,968,856,3,11.36
277,0,0,191,0,968,856,90,31.25
277,0,0,191,0,968,856,180,32.33
277,0,0,191,0,968,856,360,33.7
284,119.7,0,168.3,7.2,970.4,794.2,28,40.93
284,120,0,168,7,970,794,28,40.93
290.4,0,96.2,168.1,9.4,961.2,865,3,22.5
290.4,0,96.2,168.1,9.4,961.2,865,14,34.67
290.4,0,96.2,168.1,9.4,961.2,865,28,34.74
290.4,0,96.2,168.1,9.4,961.2,865,56,45.08
290.4,0,96.2,168.1,9.4,961.2,865,100,48.97
290.2,193.5,0,185.7,0,998.2,704.3,7,21.86
290.2,193.5,0,185.7,0,998.2,704.3,28,33.04
288,121,0,177,7,908,829,28,42.13
288.4,121,0,177.4,7,907.9,829.5,28,42.14
295.7,0,95.6,171.5,8.9,955.1,859.2,3,22.95
295.7,0,95.6,171.5,8.9,955.1,859.2,14,35.23
295.7,0,95.6,171.5,8.9,955.1,859.2,28,39.94
295.7,0,95.6,171.5,8.9,955.1,859.2,56,48.72
295.7,0,95.6,171.5,8.9,955.1,859.2,100,52.04
288,192,0,192,0,932,717.8,3,16.11
288,192,0,192,0,932,717.8,28,38.8
288,192,0,192,0,932,717.8,7,23.52
288,192,0,192,0,932,717.8,90,50.53
287,121,94,188,9,904,696,28,41.94
287.3,120.5,93.9,187.6,9.2,904.4,695.9,28,43.8
297.2,0,117.5,174.8,9.5,1022.8,753.5,3,21.91
297.2,0,117.5,174.8,9.5,1022.8,753.5,14,36.99
297.2,0,117.5,174.8,9.5,1022.8,753.5,28,47.4
297.2,0,117.5,174.8,9.5,1022.8,753.5,56,51.96
297.2,0,117.5,174.8,9.5,1022.8,753.5,100,56.74
289,134,0,195,6,924,760,28,46.24
284,15,141,179,5.5,842,801,28,43.73
284,15,141,179,5.5,842,801,3,13.4
284,15,141,179,5.5,842,801,7,24.13
284,15,141,179,5.5,842,801,56,44.52
289,133.7,0,194.9,5.5,924.1,760.1,28,46.25
289,0,0,192,0,913.2,895.3,90,32.07
289,0,0,192,0,913.2,895.3,3,11.65
289,0,0,192,0,913.2,895.3,7,14.6
289,0,0,192,0,913.2,895.3,28,25.57
295.8,0,0,185.7,0,1091.4,769.3,7,14.84
295.8,0,0,185.7,0,1091.4,769.3,28,25.22
296,0,0,186,0,1090,769,7,18.91
296,0,0,186,0,1090,769,28,25.18
296,0,0,192,0,1085,765,7,14.2
296,0,0,192,0,1085,765,28,21.65
296,0,0,192,0,1085,765,90,29.39
315,137,0,145,5.9,1130,745,28,81.75
295,0,0,185,0,1069,769,7,14.8
295,0,0,185,0,1069,769,28,25.18
300,0,0,184,0,1075,795,7,15.58
300,0,0,184,0,1075,795,28,26.85
298,0,107,164,13,953,784,28,35.86
298.1,0,107.5,163.6,12.8,953.2,784,28,35.87
312.7,144.7,0,127.3,8,999.7,822.2,28,44.52
313.3,262.2,0,175.5,8.6,1046.9,611.8,3,28.8
313.3,262.2,0,175.5,8.6,1046.9,611.8,7,42.8
313.3,262.2,0,175.5,8.6,1046.9,611.8,28,59.8
313.3,262.2,0,175.5,8.6,1046.9,611.8,56,64.9
313.3,262.2,0,175.5,8.6,1046.9,611.8,91,66.6
313,145,0,127,8,1000,822,28,44.52
298.1,0,107,186.4,6.1,879,815.2,28,42.64
298,0,107,186,6,879,815,28,42.64
297.8,137.2,106.9,201.3,6,878.4,655.3,28,53.52
298,137,107,201,6,878,655,28,53.52
318.8,212.5,0,155.7,14.3,852.1,880.4,3,25.2
318.8,212.5,0,155.7,14.3,852.1,880.4,7,33.4
318.8,212.5,0,155.7,14.3,852.1,880.4,28,55.5
318.8,212.5,0,155.7,14.3,852.1,880.4,56,66.1
318.8,212.5,0,155.7,14.3,852.1,880.4,91,68.1
302,0,0,203,0,974,817,14,18.13
302,0,0,203,0,974,817,180,26.74
302,0,0,203,0,974,817,28,21.75
297,0,0,186,0,1040,734,7,30.96
310,143,0,168,10,914,804,28,45.3
310,142.8,0,167.9,10,914.3,804,28,45.3
305.3,203.5,0,203.5,0,965.4,631,7,25.89
305.3,203.5,0,203.5,0,965.4,631,28,43.38
305.3,203.5,0,203.5,0,965.4,631,3,14.14
305.3,203.5,0,203.5,0,965.4,631,90,54.6
310,0,0,192,0,1012,830,3,11.85
310,0,0,192,0,1012,830,7,17.24
310,0,0,192,0,1012,830,28,27.83
310,0,0,192,0,1012,830,90,35.76
310,0,0,192,0,1012,830,120,38.7
298,0,107,210,11,880,744,28,31.87
298.2,0,107,209.7,11.1,879.6,744.2,28,31.88
296,0,106.7,221.4,10.5,819.2,778.4,28,31.42
296,0,107,221,11,819,778,28,31.42
316.1,210.7,0,185.7,0,977,689.3,28,38.7
316.1,210.7,0,185.7,0,977,689.3,7,24.44
303.6,139.9,0,213.5,6.2,895.5,722.5,28,33.42
304,140,0,214,6,895,722,28,33.42
310,0,0,192,0,971,850.6,3,9.87
299.8,0,119.8,211.5,9.9,878.2,727.6,28,23.84
300,0,120,212,10,878,728,28,23.84
310,0,0,192,0,970,850,7,14.99
310,0,0,192,0,970,850,28,27.92
310,0,0,192,0,970,850,90,34.68
310,0,0,192,0,970,850,180,37.33
310,0,0,192,0,970,850,360,38.11
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28,38.22
310,143,111,168,22,914,651,28,33.69
313,161,0,178,10,917,759,28,52.44
312.9,160.5,0,177.6,9.6,916.6,759.5,28,52.45
304.8,0,99.6,196,9.8,959.4,705.2,28,30.12
313,145,0,178,8,867,824,28,44.39
313,145,0,178,8,1002,689,28,41.05
305,0,100,196,10,959,705,28,30.12
313.3,145,0,178.5,8,867.2,824,28,40.93
313.3,145,0,178.5,8,1001.9,688.7,28,41.05
307,0,0,193,0,968,812,180,34.49
307,0,0,193,0,968,812,365,36.15
307,0,0,193,0,968,812,3,12.54
307,0,0,193,0,968,812,28,27.53
307,0,0,193,0,968,812,90,32.92
323.7,282.8,0,183.8,10.3,942.7,659.9,3,28.3
323.7,282.8,0,183.8,10.3,942.7,659.9,7,49.8
323.7,282.8,0,183.8,10.3,942.7,659.9,28,74.7
323.7,282.8,0,183.8,10.3,942.7,659.9,56,80.2
312.7,0,0,178.1,8,999.7,822.2,28,25.1
313,0,0,178,8,1000,822,28,25.1
314,145.3,113.2,178.9,8,869.1,690.2,28,46.23
314,145,113,179,8,869,690,28,46.23
313.8,0,112.6,169.9,10.1,925.3,782.9,28,38.46
314,0,113,170,10,925,783,28,38.46
313,0,113,178,8,1002,689,28,36.8
313.3,0,113,178.5,8,1001.9,688.7,28,36.8
304,76,0,228,0,932,670,28,47.81
304,76,0,228,0,932,670,365,55.26
304,76,0,228,0,932,670,90,49.19
304,76,0,228,0,932,670,180,50.95
304,76,0,228,0,932,670,270,54.38
325,0,0,184,0,1063,783,7,17.54
325,0,0,184,0,1063,783,28,30.57
321,164,0,190,5,870,774,28,57.21
321.3,164.2,0,190.5,4.6,870,774,28,57.22
322,149,0,186,8,951,709,28,52.42
322.5,148.6,0,185.8,8.5,951,709.5,28,52.43
325.6,166.4,0,174,8.9,881.6,790,28,61.24
326,166,0,174,9,882,790,28,61.23
331,0,0,192,0,1025,821,3,14.31
331,0,0,192,0,1025,821,7,17.44
331,0,0,192,0,1025,821,28,31.74
331,0,0,192,0,1025,821,90,37.91
331,0,0,192,0,1025,821,120,39.38
321,0,128,182,11,870,780,28,37.26
322,0,0,203,0,974,800,14,20.77
322,0,0,203,0,974,800,28,25.18
322,0,0,203,0,974,800,180,29.59
337.9,189,0,174.9,9.5,944.7,755.8,3,24.1
337.9,189,0,174.9,9.5,944.7,755.8,7,35.1
337.9,189,0,174.9,9.5,944.7,755.8,28,49.9
337.9,189,0,174.9,9.5,944.7,755.8,56,59.89
337.9,189,0,174.9,9.5,944.7,755.8,91,67.8
321.4,0,127.9,182.5,11.5,870.1,779.7,28,37.27
318,0,126,210,6,861,737,28,40.06
317.9,0,126.5,209.7,5.7,860.5,736.6,28,40.06
322,0,116,196,10,818,813,28,31.18
322.2,0,115.6,196,10.4,817.9,813.4,28,31.18
333,17.5,163,167,17.9,996,652,28,47.28
331,0,0,192,0,978,825,180,39
331,0,0,192,0,978,825,360,41.24
331,0,0,192,0,978,825,3,13.52
331,0,0,192,0,978,825,7,16.26
331,0,0,192,0,978,825,28,31.45
331,0,0,192,0,978,825,90,37.23
330.5,169.6,0,194.9,8.1,811,802.3,28,56.62
331,170,0,195,8,811,802,28,56.61
326,0,138,199,11,801,792,28,40.68
355,19,97,145,13.1,967,871,28,44.03
355,19,97,145,12.3,967,871,28,55.45
326.5,0,137.9,199,10.8,801.1,792.5,28,38.63
334,17.6,158,189,15.3,967,633,28,44.33
339.2,0,0,185.7,0,1069.2,754.3,7,21.18
339.2,0,0,185.7,0,1069.2,754.3,28,31.9
339,0,0,185,0,1069,754,7,21.16
339,0,0,185,0,1069,754,28,31.84
336,0,0,182,3,986,817,28,44.86
336.5,0,0,181.9,3.4,985.8,816.8,28,44.87
333,0,0,192,0,931.2,842.6,3,15.62
333,0,0,192,0,931.2,842.6,28,31.97
333,0,0,192,0,931.2,842.6,7,23.4
333,0,0,192,0,931.2,842.6,90,41.68
339,0,0,185,0,1060,754,28,31.65
349,0,0,192,0,1056,809,3,15.87
349,0,0,192,0,1056,809,7,9.01
349,0,0,192,0,1056,809,28,33.61
349,0,0,192,0,1056,809,90,40.66
349,0,0,192,0,1056,809,120,40.86
349,0,0,192,0,1047,806.9,3,15.05
349,0,0,192,0,1047,806,3,14.99
349,0,0,192,0,1047,806,7,18.13
349,0,0,192,0,1047,806,28,32.72
349,0,0,192,0,1047,806,90,39.49
349,0,0,192,0,1047,806,180,41.05
349,0,0,192,0,1047,806,360,42.13
359,19,141,154,10.9,942,801,28,62.94
359,19,141,154,10.9,942,801,28,59.49
359,19,141,154,10.9,942,801,3,25.12
359,19,141,154,10.9,942,801,3,23.64
359,19,141,154,10.9,942,801,7,35.75
359,19,141,154,10.9,942,801,7,38.61
359,19,141,154,10.9,942,801,56,68.75
359,19,141,154,10.9,942,801,56,66.78
339,0,0,197,0,968,781,3,13.22
339,0,0,197,0,968,781,7,20.97
339,0,0,197,0,968,781,14,27.04
339,0,0,197,0,968,781,28,32.04
339,0,0,197,0,968,781,90,35.17
339,0,0,197,0,968,781,180,36.45
339,0,0,197,0,968,781,365,38.89
350,0,0,186,0,1050,770,7,20.28
350,0,0,186,0,1050,770,28,34.29
331,0,0,192,0,879,825,3,13.52
332.5,142.5,0,228,0,932,594,270,40.27
332.5,142.5,0,228,0,932,594,365,41.05
332.5,142.5,0,228,0,932,594,90,37.72
332.5,142.5,0,228,0,932,594,180,39.78
332.5,142.5,0,228,0,932,594,28,33.02
332.5,142.5,0,228,0,932,594,7,30.28
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
362.6,189,0,164.9,11.6,944.7,755.8,7,22.9
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
356,119,0,160,9,1061,657,28,59
350,0,0,203,0,974,775,7,18.13
350,0,0,203,0,974,775,14,22.53
350,0,0,203,0,974,775,28,27.34
350,0,0,203,0,974,775,56,29.98
350,0,0,203,0,974,775,90,31.35
350,0,0,203,0,974,775,180,32.72
375,93.8,0,126.6,23.4,852.1,992.6,3,29
375,93.8,0,126.6,23.4,852.1,992.6,7,45.7
375,93.8,0,126.6,23.4,852.1,992.6,28,56.7
375,93.8,0,126.6,23.4,852.1,992.6,56,60.2
375,93.8,0,126.6,23.4,852.1,992.6,91,62.5
374,189.2,0,170.1,10.1,926.1,756.7,3,34.4
374,189.2,0,170.1,10.1,926.1,756.7,7,46.2
374,189.2,0,170.1,10.1,926.1,756.7,28,61.09
374,189.2,0,170.1,10.1,926.1,756.7,56,63.4
374,189.2,0,170.1,10.1,926.1,756.7,91,64.9
342,38,0,228,0,932,670,365,56.14
342,38,0,228,0,932,670,180,52.12
342,38,0,228,0,932,670,90,50.46
342,38,0,228,0,932,670,270,55.06
382,0,0,186,0,1111,784,7,11.47
381.4,0,0,185.7,0,1104.6,784.3,28,22.49
381.4,0,0,185.7,0,1104.6,784.3,7,14.54
379.5,151.2,0,153.9,15.9,1134.3,605,3,28.6
379.5,151.2,0,153.9,15.9,1134.3,605,7,47.1
379.5,151.2,0,153.9,15.9,1134.3,605,28,52.2
379.5,151.2,0,153.9,15.9,1134.3,605,56,54.9
379.5,151.2,0,153.9,15.9,1134.3,605,91,56.5
355.9,0,141.6,193.3,11,801.4,778.4,28,40.87
356,0,142,193,11,801,778,28,40.87
366,187,0,191.3,6.6,824.3,756.9,28,65.91
366,187,0,191,7,824,757,28,65.91
387,20,94,157,14.3,938,845,28,50.24
387,20,94,157,14.3,938,845,3,22.75
387,20,94,157,14.3,938,845,7,36.84
387,20,94,157,14.3,938,845,56,56.34
387,20,94,157,13.9,938,845,28,46.68
387,20,94,157,13.9,938,845,3,25.51
387,20,94,157,13.9,938,845,7,45.9
387,20,94,157,13.9,938,845,56,47.97
387,20,94,157,11.6,938,845,28,46.68
387,20,94,157,11.6,938,845,3,34.77
387,20,94,157,11.6,938,845,7,41.67
387,20,94,157,11.6,938,845,56,61.46
375,0,0,186,0,1038,758,7,26.06
375,0,0,186,0,1038,758,28,38.21
389.9,189,0,145.9,22,944.7,755.8,3,40.6
389.9,189,0,145.9,22,944.7,755.8,7,59.09
389.9,189,0,145.9,22,944.7,755.8,28,74.5
389.9,189,0,145.9,22,944.7,755.8,56,79.4
389.9,189,0,145.9,22,944.7,755.8,91,82.6
376,0,0,214.6,0,1003.5,762.4,3,16.28
376,0,0,214.6,0,1003.5,762.4,14,25.62
376,0,0,214.6,0,1003.5,762.4,28,31.97
376,0,0,214.6,0,1003.5,762.4,56,36.3
376,0,0,214.6,0,1003.5,762.4,100,43.06
388.6,97.1,0,157.9,12.1,852.1,925.7,3,28.1
388.6,97.1,0,157.9,12.1,852.1,925.7,7,34.9
388.6,97.1,0,157.9,12.1,852.1,925.7,28,50.7
388.6,97.1,0,157.9,12.1,852.1,925.7,56,55.2
388.6,97.1,0,157.9,12.1,852.1,925.7,91,57.6
374,0,0,190,7,1013,730,28,39.05
374.3,0,0,190.2,6.7,1013.2,730.4,28,39.06
382,0,0,186,0,1047,739,7,24
382,0,0,186,0,1047,739,28,37.42
382,0,0,185,0,1047,739,7,24
382,0,0,185,0,1047,739,28,37.42
382.5,0,0,185.7,0,1047.8,739.3,7,24.07
382.5,0,0,185.7,0,1047.8,739.3,28,37.44
385,0,136,158,20,903,768,28,55.55
401.8,94.7,0,147.4,11.4,946.8,852.1,3,41.1
401.8,94.7,0,147.4,11.4,946.8,852.1,7,54.1
401.8,94.7,0,147.4,11.4,946.8,852.1,28,68.5
401.8,94.7,0,147.4,11.4,946.8,852.1,56,73.7
401.8,94.7,0,147.4,11.4,946.8,852.1,91,75.5
385,0,0,186,0,966,763,1,6.27
385,0,0,186,0,966,763,3,14.7
385,0,0,186,0,966,763,7,23.22
385,0,0,186,0,966,763,14,27.92
385,0,0,186,0,966,763,28,31.35
397,17.2,158,167,20.8,967,633,28,55.65
397,0,0,185.7,0,1040.6,734.3,28,33.08
397,0,0,185.7,0,1040.6,734.3,7,25.45
397,0,0,186,0,1040,734,28,36.94
397,0,0,185,0,1040,734,28,39.09
405,0,0,175,0,1120,695,28,52.3
400,0,0,187,0,1025,745,28,43.7
400,0,0,187,0,1025,745,7,30.14
393,0,0,192,0,940.6,785.6,3,19.2
393,0,0,192,0,940.6,785.6,90,48.85
393,0,0,192,0,940.6,785.6,28,39.6
393,0,0,192,0,940.6,785.6,7,27.74
380,95,0,228,0,932,594,365,43.7
380,95,0,228,0,932,594,28,36.45
380,95,0,228,0,932,594,90,40.56
380,95,0,228,0,932,594,270,41.15
380,95,0,228,0,932,594,180,40.76
380,95,0,228,0,932,594,7,32.82
380,0,0,228,0,932,670,90,52.91
380,0,0,228,0,932,670,365,52.52
380,0,0,228,0,932,670,270,53.3
380,0,0,228,0,932,670,180,53.1
393,0,0,192,0,940,758,3,19.11
393,0,0,192,0,940,758,28,39.58
393,0,0,192,0,940,758,90,48.79
425,106.3,0,151.4,18.6,936,803.7,3,36.3
425,106.3,0,151.4,18.6,936,803.7,7,46.8
425,106.3,0,151.4,18.6,936,803.7,28,61.8
425,106.3,0,151.4,18.6,936,803.7,56,64.9
425,106.3,0,151.4,18.6,936,803.7,91,66.7
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
424,22,132,178,8.5,882,750,3,32.01
424,22,132,178,8.5,822,750,28,62.05
424,22,132,178,8.5,822,750,7,39
424,22,132,178,8.5,822,750,56,65.7
424,22,132,168,8.9,822,750,28,72.1
424,22,132,168,8.9,822,750,3,32.11
424,22,132,168,8.9,822,750,7,40.29
424,22,132,168,8.9,822,750,56,74.36
439,177,0,186,11.1,884.9,707.9,3,39.3
439,177,0,186,11.1,884.9,707.9,7,56.1
439,177,0,186,11.1,884.9,707.9,28,66
439,177,0,186,11.1,884.9,707.9,56,71.7
439,177,0,186,11.1,884.9,707.9,91,73.3
450.1,50,0,200,3,1124.4,613.2,28,39.38
446,24,79,162,11.6,967,712,28,57.03
446,24,79,162,11.6,967,712,28,44.42
446,24,79,162,11.6,967,712,28,51.02
446,24,79,162,11.6,967,712,3,35.36
446,24,79,162,11.6,967,712,3,25.02
446,24,79,162,11.6,967,712,3,23.35
446,24,79,162,11.6,967,712,7,52.01
446,24,79,162,11.6,967,712,7,38.02
446,24,79,162,11.6,967,712,7,39.3
446,24,79,162,11.6,967,712,56,61.07
446,24,79,162,11.6,967,712,56,56.14
446,24,79,162,11.6,967,712,56,55.25
446,24,79,162,10.3,967,712,28,53.39
446,24,79,162,10.3,967,712,56,54.77
451,0,0,165,11.3,1030,745,28,78.8
485,0,0,146,0,1120,800,28,71.99
469,117.2,0,137.8,32.2,852.1,840.5,3,40.2
469,117.2,0,137.8,32.2,852.1,840.5,7,54.9
469,117.2,0,137.8,32.2,852.1,840.5,28,66.9
469,117.2,0,137.8,32.2,852.1,840.5,56,69.3
469,117.2,0,137.8,32.2,852.1,840.5,91,70.7
427.5,47.5,0,228,0,932,594,270,43.01
427.5,47.5,0,228,0,932,594,180,41.84
427.5,47.5,0,228,0,932,594,28,37.43
427.5,47.5,0,228,0,932,594,365,43.7
427.5,47.5,0,228,0,932,594,90,41.54
427.5,47.5,0,228,0,932,594,7,35.08
475,118.8,0,181.1,8.9,852.1,781.5,3,37.8
475,118.8,0,181.1,8.9,852.1,781.5,7,55.6
475,118.8,0,181.1,8.9,852.1,781.5,28,68.3
475,118.8,0,181.1,8.9,852.1,781.5,56,72.3
475,118.8,0,181.1,8.9,852.1,781.5,91,74.19
475,0,59,142,1.9,1098,641,28,57.23
436,0,0,218,0,838.4,719.7,28,23.85
491,26,123,210,3.9,882,699,28,55.55
491,26,123,210,3.9,882,699,3,25.61
491,26,123,210,3.9,882,699,7,33.49
491,26,123,210,3.9,882,699,56,59.59
475,0,0,162,9.5,1044,662,28,58.52
500,0,0,140,4,966,853,28,67.57
500.1,0,0,200,3,1124.4,613.2,28,44.13
500,0,0,200,0,1125,613,1,12.64
500,0,0,200,0,1125,613,3,26.06
500,0,0,200,0,1125,613,7,33.21
500,0,0,200,0,1125,613,14,36.94
500,0,0,200,0,1125,613,28,44.09
500,0,0,200,0,1125,613,90,47.22
500,0,0,200,0,1125,613,180,51.04
500,0,0,200,0,1125,613,270,55.16
480,0,0,192,0,936,721,28,43.89
480,0,0,192,0,936,721,90,54.28
480,0,0,192,0,936,721,3,24.39
480,0,0,192,0,936.2,712.2,28,43.94
480,0,0,192,0,936.2,712.2,7,34.57
480,0,0,192,0,936.2,712.2,90,54.32
480,0,0,192,0,936.2,712.2,3,24.4
491,26,123,201,3.9,822,699,28,57.92
491,26,123,201,3.9,822,699,3,29.55
491,26,123,201,3.9,822,699,7,37.92
491,26,123,201,3.9,822,699,56,61.86
505,0,60,195,0,1030,630,28,64.02
522,0,0,146,0,896,896,7,50.51
522,0,0,146,0,896,896,28,74.99
500,0,0,151,9,1033,655,28,69.84
475,0,0,228,0,932,594,28,39.29
475,0,0,228,0,932,594,180,42.62
475,0,0,228,0,932,594,7,38.6
475,0,0,228,0,932,594,270,42.13
475,0,0,228,0,932,594,90,42.23
475,0,0,228,0,932,594,365,41.93
525,0,0,189,0,1125,613,180,61.92
525,0,0,189,0,1125,613,3,33.8
525,0,0,189,0,1125,613,7,42.42
525,0,0,189,0,1125,613,14,48.4
525,0,0,189,0,1125,613,28,55.94
525,0,0,189,0,1125,613,90,58.78
525,0,0,189,0,1125,613,270,67.11
520,0,0,170,5.2,855,855,28,60.28
531.3,0,0,141.8,28.2,852.1,893.7,3,41.3
531.3,0,0,141.8,28.2,852.1,893.7,7,46.9
531.3,0,0,141.8,28.2,852.1,893.7,28,56.4
531.3,0,0,141.8,28.2,852.1,893.7,56,58.8
531.3,0,0,141.8,28.2,852.1,893.7,91,59.2
520,0,0,175,5.2,870,805,28,51.02
540,0,0,173,0,1125,613,7,52.61
540,0,0,173,0,1125,613,14,59.76
540,0,0,173,0,1125,613,28,67.31
540,0,0,173,0,1125,613,90,69.66
540,0,0,173,0,1125,613,180,71.62
540,0,0,173,0,1125,613,270,74.17
540,0,0,173,0,1125,613,3,41.64
540,0,0,162,2.5,1055,676,28,61.89
540,0,0,162,2.5,1040,676,28,79.99
528,0,0,185,6.9,920,720,28,56.83
516,0,0,162,8.3,801,802,28,41.37
516,0,0,162,8.2,801,802,28,41.37
